id,x,y,tipo,H,S,V,area_px,feret_max_px,diam_equiv_px,eje_mayor_px
91,1484,987,3,0.7,129.6,174.5,3424,69.89,66.02,70.16
92,1381,994,3,179.5,134.1,180.0,4038,76.66,71.70,77.32
93,1265,995,3,179.0,136.4,184.3,3290,67.48,64.72,66.77
94,1157,996,3,0.4,130.0,189.2,3674,70.58,68.40,70.05
95,933,1005,3,1.3,114.4,180.0,3222,68.41,64.05,68.08
96,822,1007,3,1.5,116.6,189.9,3246,67.27,64.29,67.17
97,1045,1007,1,179.5,147.2,243.4,4862,83.49,78.68,82.39
98,709,1016,3,1.2,119.9,186.0,3816,73.36,69.70,73.28
99,594,1018,3,1.1,118.4,180.8,3383,69.03,65.63,68.73
100,475,1025,3,179.3,122.1,171.5,4147,77.88,72.66,78.09
